topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
small_world,8,0.12,1000,48,False,0.186413,0.947011,0.70432,0.348179,0.275482,0.817404,0.143953,0.657513,0.656177,0.088486,-0.010239,3.8041,3.4848,283,109
small_world,9,0.12,500,48,False,0.197453,0.934073,0.702618,0.338357,0.283429,0.791162,0.148665,0.657941,0.659804,0.08885,-0.007649,3.7696,3.5707,283,105
small_world,9,0.12,1000,48,False,0.193004,0.948871,0.708276,0.338586,0.280367,0.779406,0.146032,0.658297,0.661105,0.089341,-0.003166,3.7724,3.5864,302,110
small_world,10,0.12,500,48,False,0.198065,0.927134,0.706364,0.342922,0.275315,0.899753,0.138211,0.659006,0.638019,0.090254,-0.009541,3.7715,3.3648,279,111
small_world,10,0.12,1000,48,False,0.180052,0.949381,0.691099,0.341118,0.274206,0.912066,0.128245,0.658162,0.661541,0.089057,0.001222,3.7863,3.3635,283,97
von_neumann,1,0.2,500,48,False,0.196448,0.953729,0.721491,0.337816,0.226401,0.760979,0.135616,0.658407,0.604971,0.155926,-0.001554,3.7756,3.376,284,124
von_neumann,1,0.2,1000,48,False,0.186457,0.958639,0.708827,0.335478,0.227662,0.832294,0.129237,0.65924,0.600121,0.15592,-0.011572,3.7655,3.294,264,115
von_neumann,2,0.2,500,48,False,0.182833,0.9334,0.700544,0.33826,0.228372,0.747511,0.111737,0.658611,0.600916,0.156511,-0.007702,3.7736,3.4227,271,103
von_neumann,2,0.2,1000,48,False,0.193945,0.983139,0.701619,0.333717,0.225474,0.876873,0.125433,0.659042,0.600942,0.155828,-0.022191,3.7539,3.1307,274,106
von_neumann,3,0.2,500,48,False,0.182071,0.988076,0.703607,0.34753,0.226231,0.85552,0.108915,0.659155,0.609609,0.156599,0.003113,3.8021,3.1922,275,105
