topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,18,False,0.214986,0.889272,0.704674,0.332416,0.307478,0.837835,0.150696,0.658908,0.862183,0.041874,-0.068289,3.7108,3.4986,48,16
von_neumann,1,0.04,1000,18,False,0.197821,0.922517,0.705652,0.347443,0.295199,0.63386,0.147709,0.65976,0.880805,0.043636,-0.053492,3.785,3.6873,52,15
von_neumann,2,0.04,500,18,False,0.191912,0.868178,0.674741,0.327516,0.299742,0.80022,0.123568,0.662487,0.865105,0.044225,-0.11059,3.6719,3.481,40,10
von_neumann,2,0.04,1000,18,False,0.194096,0.879894,0.704472,0.348857,0.300948,0.699507,0.149483,0.659682,0.874212,0.042826,0.025402,3.7585,3.7406,39,16
von_neumann,3,0.04,500,18,False,0.182412,0.943595,0.733052,0.343093,0.294089,0.667975,0.136574,0.659912,0.867927,0.045001,-0.016994,3.7653,3.7661,40,19
von_neumann,3,0.04,1000,18,False,0.191196,0.891658,0.68321,0.336304,0.304034,0.799851,0.162857,0.65678,0.867094,0.044146,-0.003822,3.6954,3.4986,39,12
von_neumann,4,0.04,500,18,False,0.192796,0.823946,0.712626,0.329151,0.303875,0.834376,0.137943,0.657963,0.877584,0.043283,-0.038849,3.7199,3.4097,44,17
von_neumann,4,0.04,1000,18,False,0.192273,0.881752,0.683862,0.350058,0.325376,0.852868,0.135688,0.658032,0.862743,0.042771,-0.012341,3.7643,3.6142,37,13
von_neumann,5,0.04,500,18,False,0.1411,0.848821,0.663319,0.36245,0.315984,0.704532,0.0845,0.655573,0.872325,0.041528,0.042759,3.8045,3.7027,33,10
von_neumann,5,0.04,1000,18,False,0.138499,0.872439,0.64571,0.33114,0.293735,0.763499,0.095795,0.658925,0.881319,0.042825,-0.050727,3.7196,3.5494,36,10
von_neumann,6,0.04,500,18,False,0.223847,0.897365,0.745529,0.34818,0.310808,0.690982,0.16548,0.658724,0.870074,0.043822,-0.003294,3.771,3.7323,38,23
von_neumann,6,0.04,1000,18,False,0.187145,0.871578,0.666824,0.346363,0.293743,0.698603,0.148717,0.659077,0.873879,0.04397,0.037419,3.7526,3.7258,40,11
von_neumann,7,0.04,500,18,False,0.162082,0.868317,0.65184,0.322365,0.303241,0.637593,0.147521,0.657661,0.868543,0.043014,-0.000607,3.6882,3.8896,34,12
von_neumann,7,0.04,1000,18,False,0.194209,0.936625,0.700369,0.348622,0.322735,0.682887,0.143868,0.657762,0.87247,0.041485,0.082119,3.7482,3.8286,37,17
von_neumann,8,0.04,500,18,False,0.17346,0.861841,0.721045,0.338713,0.296319,0.714042,0.144271,0.662036,0.884416,0.043459,-0.013022,3.7235,3.5846,40,14
von_neumann,8,0.04,1000,18,False,0.191026,0.878078,0.712651,0.348464,0.310373,0.901228,0.160027,0.656785,0.866037,0.044735,0.002822,3.7784,3.4536,41,18
von_neumann,9,0.04,500,18,False,0.238877,0.929853,0.710851,0.328425,0.320706,0.768161,0.179058,0.65956,0.8619,0.042619,0.016998,3.6768,3.6551,39,14
von_neumann,9,0.04,1000,18,False,0.195584,0.878112,0.691218,0.319915,0.302308,0.780569,0.137314,0.657957,0.857855,0.04476,0.017139,3.6696,3.4941,44,14
von_neumann,10,0.04,500,18,False,0.1875,0.932922,0.700717,0.348708,0.315508,0.727456,0.134104,0.657583,0.868053,0.043853,-0.027605,3.7962,3.7092,40,15
von_neumann,10,0.04,1000,18,False,0.187668,0.885526,0.667879,0.33832,0.298828,0.77808,0.145644,0.657458,0.875321,0.045415,-0.009503,3.7071,3.6183,40,12
moore,1,0.04,500,18,False,0.208296,0.948218,0.75756,0.355232,0.36443,0.893124,0.161825,0.65585,0.91709,0.029628,-0.016132,3.7996,3.484,22,22
moore,1,0.04,1000,18,False,0.206736,0.895397,0.726523,0.330967,0.351464,0.76876,0.163637,0.661189,0.926315,0.030439,-0.002829,3.7061,3.5252,20,13
moore,2,0.04,500,18,False,0.182235,0.824434,0.700745,0.330036,0.36022,0.872954,0.134581,0.662027,0.921673,0.030377,-0.048224,3.7159,3.4466,22,15
moore,2,0.04,1000,18,False,0.214709,0.91727,0.749066,0.326632,0.355577,0.793317,0.180662,0.663107,0.923976,0.029973,-0.011577,3.7226,3.5555,22,16
moore,3,0.04,500,18,False,0.188095,0.9079,0.711221,0.339979,0.35711,0.764225,0.142203,0.66054,0.917441,0.030512,0.015799,3.7481,3.6534,23,15
moore,3,0.04,1000,18,False,0.189399,0.93425,0.703093,0.344667,0.361053,0.7841,0.157841,0.658045,0.925284,0.030363,0.029687,3.7404,3.566,25,11
