topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.12,500,24,False,0.212465,0.896009,0.715111,0.329332,0.246502,0.707249,0.129854,0.66045,0.657076,0.097063,0.030786,3.7159,3.5361,74,33
von_neumann,1,0.12,1000,24,False,0.183825,0.915843,0.683823,0.341113,0.249045,0.727194,0.116035,0.657288,0.657821,0.098217,0.02371,3.7787,3.4787,64,24
von_neumann,2,0.12,500,24,False,0.138777,0.854798,0.648154,0.339137,0.229141,0.731577,0.082907,0.656642,0.663845,0.097163,0.021567,3.7583,3.4211,56,15
von_neumann,2,0.12,1000,24,False,0.211482,0.91655,0.717476,0.349599,0.234629,0.740598,0.157509,0.65877,0.649474,0.100214,-0.007534,3.773,3.4388,80,27
von_neumann,3,0.12,500,24,False,0.216539,0.881403,0.734249,0.341117,0.24852,0.842412,0.14886,0.658536,0.641713,0.097027,0.007767,3.7493,3.2742,73,33
von_neumann,3,0.12,1000,24,False,0.187459,0.900897,0.685202,0.332899,0.23636,0.715986,0.138264,0.661204,0.677374,0.09928,-0.02481,3.7343,3.5274,77,25
von_neumann,4,0.12,500,24,False,0.201933,0.869501,0.683899,0.336502,0.239514,0.72571,0.156121,0.656705,0.651752,0.099746,-0.025972,3.7276,3.512,69,22
von_neumann,4,0.12,1000,24,False,0.225725,0.935719,0.743918,0.345094,0.239297,0.58989,0.165771,0.655552,0.642165,0.098933,-0.017099,3.771,3.7945,76,43
von_neumann,5,0.12,500,24,False,0.184325,0.893453,0.685337,0.34103,0.259181,0.814025,0.135642,0.658102,0.673676,0.096053,0.023036,3.7437,3.4598,64,24
von_neumann,5,0.12,1000,24,False,0.181555,0.899737,0.676972,0.334369,0.242386,0.871137,0.133161,0.661008,0.669187,0.095138,-0.035325,3.7483,3.2613,67,26
von_neumann,6,0.12,500,24,False,0.201002,0.902499,0.694978,0.339687,0.247019,0.642859,0.129619,0.656289,0.665244,0.097075,0.004958,3.757,3.6492,71,24
von_neumann,6,0.12,1000,24,False,0.191577,0.91694,0.709709,0.335292,0.238426,0.670187,0.10569,0.658444,0.669359,0.095342,0.016681,3.7515,3.6123,67,27
von_neumann,7,0.12,500,24,False,0.175471,0.93029,0.72424,0.346812,0.240767,0.736339,0.113319,0.658782,0.676041,0.095048,0.002412,3.8051,3.4913,61,27
von_neumann,7,0.12,1000,24,False,0.165733,0.940297,0.675133,0.333706,0.233468,0.764179,0.110367,0.658104,0.662027,0.09937,0.005116,3.7499,3.3653,66,21
