topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
small_world,8,0.08,500,48,False,0.181741,0.942165,0.708262,0.340709,0.297394,0.852307,0.138618,0.658056,0.72436,0.064094,0.008291,3.7864,3.5438,267,116
small_world,8,0.08,1000,48,False,0.184823,0.935148,0.702201,0.347601,0.288417,0.800008,0.144307,0.657309,0.725403,0.06318,-0.009961,3.7981,3.5547,278,108
small_world,9,0.08,500,48,False,0.198983,0.946386,0.706924,0.334878,0.296913,0.802498,0.154567,0.658105,0.730866,0.063536,-0.005932,3.7594,3.5794,284,105
small_world,9,0.08,1000,48,False,0.193752,0.940154,0.708908,0.337071,0.293427,0.780592,0.146927,0.658131,0.730969,0.064095,0.008955,3.7647,3.6022,296,116
small_world,10,0.08,500,48,False,0.198808,0.92612,0.718983,0.34469,0.290698,0.921785,0.144487,0.659032,0.712744,0.064373,-0.006329,3.7813,3.3716,274,118
small_world,10,0.08,1000,48,False,0.17966,0.962682,0.692863,0.340325,0.287238,0.936232,0.131739,0.657885,0.73244,0.063638,0.009094,3.7831,3.3586,278,96
von_neumann,1,0.12,500,48,False,0.195885,0.970485,0.72013,0.336786,0.240775,0.807889,0.135006,0.657859,0.659604,0.097178,0.007646,3.7743,3.348,287,124
von_neumann,1,0.12,1000,48,False,0.18922,0.937549,0.70863,0.336593,0.242807,0.8347,0.132084,0.659196,0.65552,0.096817,-0.012008,3.7744,3.3671,267,109
von_neumann,2,0.12,500,48,False,0.183703,0.957688,0.693181,0.335279,0.242858,0.724621,0.116054,0.65918,0.656343,0.097366,-0.025795,3.7687,3.5287,276,99
von_neumann,2,0.12,1000,48,False,0.196559,0.9847,0.70992,0.334485,0.240594,0.82311,0.129826,0.658863,0.654814,0.097011,-0.018008,3.7514,3.2817,288,107
von_neumann,3,0.12,500,48,False,0.183659,0.977835,0.693062,0.345569,0.240998,0.88887,0.113705,0.65922,0.664477,0.09745,0.013344,3.7928,3.183,264,94
von_neumann,3,0.12,1000,48,False,0.182259,0.956556,0.699771,0.340627,0.242104,0.766098,0.125619,0.659217,0.664476,0.097888,-0.015723,3.7809,3.4167,267,102
von_neumann,4,0.12,500,48,False,0.185283,0.973468,0.707068,0.347739,0.24292,0.8669,0.130789,0.658115,0.655459,0.097613,-0.004767,3.8129,3.2632,274,108
von_neumann,4,0.12,1000,48,False,0.185058,0.960684,0.689691,0.339845,0.243768,0.737393,0.13923,0.659701,0.66935,0.097075,0.011875,3.7789,3.5236,262,101
von_neumann,5,0.12,500,48,False,0.195855,0.955152,0.715215,0.336895,0.235683,0.782829,0.132584,0.659689,0.662117,0.09775,0.020776,3.7646,3.3654,286,118
von_neumann,5,0.12,1000,48,False,0.189162,0.928272,0.719688,0.344314,0.238869,0.888036,0.13987,0.658126,0.655265,0.097122,0.001117,3.7948,3.2262,291,124
von_neumann,6,0.12,500,48,False,0.190808,0.944168,0.701762,0.33361,0.240372,0.794445,0.121692,0.658626,0.661924,0.097028,0.004839,3.7521,3.3706,267,100
von_neumann,6,0.12,1000,48,False,0.190378,0.967081,0.708493,0.338012,0.243157,0.758698,0.134521,0.659031,0.661903,0.097508,0.023195,3.7738,3.4764,262,108
von_neumann,7,0.12,500,48,False,0.187662,0.964024,0.714414,0.337164,0.24342,0.764332,0.129823,0.658975,0.664637,0.097835,-0.020453,3.7719,3.4486,273,116
von_neumann,7,0.12,1000,48,False,0.18926,0.979973,0.727623,0.341991,0.245254,0.762132,0.129602,0.657824,0.664764,0.09549,0.03101,3.7929,3.452,265,131
von_neumann,8,0.12,500,48,False,0.196432,0.931111,0.695799,0.337023,0.247196,0.787131,0.139829,0.658561,0.648637,0.096625,-0.012162,3.7577,3.4542,296,94
von_neumann,8,0.12,1000,48,False,0.187286,0.941108,0.704506,0.346071,0.244671,0.798154,0.112153,0.657318,0.655688,0.097249,0.01831,3.802,3.3741,271,112
von_neumann,9,0.12,500,48,False,0.172997,0.907585,0.711002,0.345773,0.24162,0.81771,0.119221,0.65796,0.665329,0.096004,-0.004127,3.7975,3.3382,277,115
