topology,seed,noise,gamma,tick,size,lr2,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,mean_self_pred_err
moore,16,0.08,0.0,1000,24,0.003,0.207037,0.960404,0.734975,0.339634,0.315584,0.801322,0.135809,0.66003,0.795648,0.044452,0.022426
moore,17,0.08,0.0,1000,24,0.003,0.196225,0.923308,0.709307,0.341151,0.317143,0.779707,0.131554,0.661084,0.793916,0.045794,0.02219
moore,18,0.08,0.0,1000,24,0.003,0.202177,0.919631,0.726648,0.343949,0.296666,0.77894,0.121864,0.659382,0.8066,0.043029,0.022084
moore,19,0.08,0.0,1000,24,0.003,0.180904,0.960044,0.719124,0.351493,0.293886,0.74903,0.116576,0.659235,0.804796,0.04512,0.022172
moore,20,0.08,0.0,1000,24,0.003,0.236268,0.911893,0.718331,0.326116,0.324031,0.737699,0.152812,0.660737,0.790027,0.044632,0.022203
moore,1,0.12,0.0,1000,24,0.003,0.19674,0.94024,0.710665,0.333571,0.274089,0.651532,0.122309,0.662262,0.717629,0.06078,0.028441
moore,2,0.12,0.0,1000,24,0.003,0.179815,0.901852,0.691312,0.344094,0.288162,0.64688,0.098118,0.660784,0.706991,0.061431,0.028274
moore,3,0.12,0.0,1000,24,0.003,0.187215,0.880782,0.695657,0.329893,0.28064,0.739462,0.107079,0.660343,0.724811,0.060824,0.028275
moore,4,0.12,0.0,1000,24,0.003,0.203297,0.977128,0.703038,0.322727,0.282239,0.711919,0.125693,0.660589,0.715512,0.061643,0.028279
moore,5,0.12,0.0,1000,24,0.003,0.205051,0.880322,0.705961,0.342065,0.277323,0.770959,0.106726,0.659948,0.717567,0.063207,0.028531
moore,6,0.12,0.0,1000,24,0.003,0.203762,0.901795,0.725939,0.340485,0.281145,0.723349,0.114133,0.660898,0.698937,0.062004,0.028072
moore,7,0.12,0.0,1000,24,0.003,0.198342,0.874345,0.724232,0.336927,0.282098,0.73898,0.13144,0.661152,0.707017,0.061193,0.028144
moore,8,0.12,0.0,1000,24,0.003,0.198462,0.945805,0.726103,0.333878,0.276101,0.755525,0.110205,0.662816,0.718731,0.061202,0.028434
moore,9,0.12,0.0,1000,24,0.003,0.214498,0.939783,0.73754,0.344319,0.276202,0.862825,0.139796,0.662694,0.703923,0.061055,0.028303
moore,10,0.12,0.0,1000,24,0.003,0.215131,0.886677,0.711386,0.327469,0.283287,0.824921,0.12651,0.660793,0.708164,0.061317,0.02754
moore,11,0.12,0.0,1000,24,0.003,0.168849,0.949316,0.711446,0.342519,0.27969,0.734053,0.094812,0.662938,0.738349,0.059833,0.02826
moore,12,0.12,0.0,1000,24,0.003,0.195923,0.898541,0.715977,0.336582,0.278862,0.737954,0.128107,0.663649,0.715119,0.060385,0.027722
moore,13,0.12,0.0,1000,24,0.003,0.189611,0.886465,0.685079,0.340779,0.271864,0.734947,0.117695,0.661828,0.701621,0.062343,0.028601
moore,14,0.12,0.0,1000,24,0.003,0.207295,0.91155,0.701421,0.324484,0.277,0.787544,0.114967,0.660223,0.689758,0.063231,0.02771
moore,15,0.12,0.0,1000,24,0.003,0.216406,0.941092,0.726257,0.334146,0.291205,0.736863,0.126388,0.662912,0.70307,0.061415,0.028386
moore,16,0.12,0.0,1000,24,0.003,0.204491,0.948985,0.718317,0.34049,0.280705,0.699509,0.117491,0.660211,0.710637,0.061304,0.028532
moore,17,0.12,0.0,1000,24,0.003,0.195938,0.940065,0.719666,0.337445,0.285607,0.708255,0.115329,0.66345,0.706424,0.063043,0.028147
moore,18,0.12,0.0,1000,24,0.003,0.208256,0.941622,0.734388,0.347219,0.267005,0.745815,0.111918,0.659972,0.726347,0.05903,0.028092
moore,19,0.12,0.0,1000,24,0.003,0.184876,0.934964,0.710499,0.344256,0.26321,0.712093,0.107086,0.6604,0.725342,0.061874,0.028242
