topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,36,False,0.178334,0.970113,0.707511,0.340892,0.299115,0.763809,0.123005,0.658878,0.867354,0.043584,0.028448,3.7897,3.5912,153,62
von_neumann,1,0.04,1000,36,False,0.194255,0.900985,0.71527,0.34176,0.305252,0.867091,0.148583,0.660148,0.86377,0.043689,0.025482,3.7809,3.4819,138,62
von_neumann,2,0.04,500,36,False,0.184556,0.966271,0.714193,0.333168,0.308777,0.864779,0.14295,0.659246,0.868357,0.043566,0.007805,3.7454,3.4896,153,69
von_neumann,2,0.04,1000,36,False,0.200077,0.959543,0.714451,0.338184,0.307051,0.796307,0.156714,0.657502,0.868583,0.043119,0.010442,3.7676,3.6052,151,72
von_neumann,3,0.04,500,36,False,0.180964,0.935307,0.710873,0.343097,0.297569,0.880456,0.127523,0.659576,0.870937,0.044298,0.001914,3.7944,3.4028,158,73
von_neumann,3,0.04,1000,36,False,0.173578,0.91015,0.698613,0.337472,0.298695,0.785746,0.121,0.65835,0.871927,0.043181,0.001519,3.7648,3.5625,166,60
von_neumann,4,0.04,500,36,False,0.198497,0.900086,0.721078,0.341247,0.311905,0.738155,0.14994,0.659429,0.867573,0.043662,-0.013221,3.7782,3.7112,158,69
von_neumann,4,0.04,1000,36,False,0.176975,0.930028,0.69961,0.338391,0.304138,0.898798,0.129129,0.658626,0.874664,0.042775,0.016861,3.7697,3.4142,157,56
von_neumann,5,0.04,500,36,False,0.179962,0.876067,0.669634,0.330426,0.300227,0.820015,0.136659,0.659039,0.873302,0.043561,-0.004803,3.7225,3.5233,152,41
von_neumann,5,0.04,1000,36,False,0.184427,0.933251,0.687815,0.342476,0.307119,0.910538,0.139498,0.659302,0.872561,0.043251,-0.025767,3.7712,3.3907,163,54
von_neumann,6,0.04,500,36,False,0.17787,0.932913,0.711034,0.344564,0.303607,0.793776,0.129034,0.657921,0.87377,0.043742,-0.00667,3.7931,3.5838,154,60
von_neumann,6,0.04,1000,36,False,0.172643,0.935768,0.72018,0.348863,0.309786,0.827815,0.124566,0.657972,0.873437,0.042872,-0.019014,3.8135,3.5239,157,69
von_neumann,7,0.04,500,36,False,0.170368,0.912983,0.691547,0.337742,0.301129,0.829572,0.125142,0.657348,0.86998,0.043944,0.025616,3.765,3.5287,158,50
von_neumann,7,0.04,1000,36,False,0.203002,0.921232,0.71846,0.342733,0.307263,0.827836,0.149977,0.658345,0.868932,0.043468,0.008864,3.783,3.5715,162,71
von_neumann,8,0.04,500,36,False,0.158284,0.900471,0.691944,0.342282,0.303022,0.85997,0.108353,0.659239,0.872902,0.043482,-0.023995,3.784,3.4757,161,59
von_neumann,8,0.04,1000,36,False,0.184822,0.959989,0.714195,0.345592,0.300716,0.88712,0.14604,0.657975,0.867434,0.043257,0.005643,3.7943,3.4453,158,65
von_neumann,9,0.04,500,36,False,0.19976,0.955312,0.69097,0.333687,0.306557,0.803613,0.141537,0.658241,0.873869,0.044191,-0.021365,3.7295,3.5659,163,48
