topology,seed,noise,tick,size,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,23,0.04,500,12,0.232055,0.84182,0.690506,0.305549,0.329084,0.792306,0.045771,0.025956,3.5335,3.5842,15,5
von_neumann,23,0.04,1000,12,0.206405,0.849454,0.734273,0.348073,0.299995,0.675074,0.043716,-0.090447,3.7422,3.7602,22,13
von_neumann,24,0.04,500,12,0.180246,0.829837,0.691872,0.351576,0.288854,0.763862,0.045116,-0.172137,3.7541,3.446,22,7
von_neumann,24,0.04,1000,12,0.21935,0.798664,0.666218,0.321333,0.312287,0.648416,0.043882,-0.005144,3.5919,3.686,17,6
von_neumann,25,0.04,500,12,0.190643,0.838442,0.742513,0.357766,0.321759,0.733244,0.042399,0.044259,3.6723,3.62,17,10
von_neumann,25,0.04,1000,12,0.212564,0.889669,0.712524,0.316297,0.328429,0.808056,0.043781,0.053197,3.6253,3.668,16,7
von_neumann,26,0.04,500,12,0.213149,0.899595,0.716894,0.334348,0.319585,0.752293,0.04254,-0.010912,3.7081,3.6789,17,8
von_neumann,26,0.04,1000,12,0.201962,0.789391,0.684218,0.335525,0.299384,0.699853,0.045872,0.022506,3.6468,3.6681,16,6
von_neumann,27,0.04,500,12,0.180979,0.86092,0.754165,0.353235,0.299941,0.641146,0.045184,0.001493,3.7323,3.7204,16,7
von_neumann,27,0.04,1000,12,0.209796,0.922681,0.672208,0.31949,0.306748,0.650835,0.042412,-0.025099,3.6488,3.6768,22,5
von_neumann,28,0.04,500,12,0.215922,0.876122,0.744103,0.356151,0.303298,0.649088,0.04624,-0.059041,3.7835,3.6875,19,12
von_neumann,28,0.04,1000,12,0.220267,0.859053,0.738225,0.350917,0.30474,0.803097,0.044151,-0.064472,3.74,3.4619,18,8
von_neumann,29,0.04,500,12,0.130279,0.832915,0.705359,0.367246,0.287053,0.692889,0.042875,0.061882,3.8495,3.5779,14,7
von_neumann,29,0.04,1000,12,0.226484,0.904077,0.751725,0.327139,0.326771,0.688708,0.043043,-0.043747,3.6764,3.7962,22,10
von_neumann,30,0.04,500,12,0.231661,0.921266,0.748439,0.336172,0.300384,0.574572,0.044295,0.044601,3.744,3.9122,13,11
von_neumann,30,0.04,1000,12,0.15314,0.882484,0.683475,0.313434,0.298007,0.726055,0.043222,-0.052533,3.637,3.5658,15,7
von_neumann,31,0.04,500,12,0.212975,0.958095,0.69813,0.354987,0.30986,0.732442,0.043619,-0.009117,3.7202,3.6556,19,7
von_neumann,31,0.04,1000,12,0.188567,0.934789,0.632352,0.335368,0.300823,0.628579,0.043151,-0.033982,3.5938,3.7791,15,3
von_neumann,32,0.04,500,12,0.135425,0.848974,0.684715,0.328335,0.308511,0.709792,0.043396,0.007937,3.6834,3.7073,14,7
von_neumann,32,0.04,1000,12,0.1895,0.876365,0.68242,0.321432,0.305839,0.624705,0.042433,0.018902,3.6482,3.8352,17,6
von_neumann,33,0.04,500,12,0.177662,0.906529,0.646839,0.335788,0.313432,0.614925,0.041295,-0.014068,3.6787,3.8604,15,4
von_neumann,33,0.04,1000,12,0.157545,0.86432,0.664294,0.33832,0.291043,0.732581,0.04203,-0.061689,3.6903,3.6287,17,4
von_neumann,34,0.04,500,12,0.17225,0.87607,0.671961,0.335753,0.295726,0.669228,0.043827,0.020926,3.6931,3.7346,19,6
von_neumann,34,0.04,1000,12,0.161508,0.850442,0.673337,0.345359,0.305321,0.636677,0.042383,-0.031043,3.6989,3.5999,19,4
von_neumann,35,0.04,500,12,0.164211,0.824191,0.708019,0.347532,0.308618,0.668649,0.042991,-0.004051,3.7457,3.7636,15,8
von_neumann,35,0.04,1000,12,0.112861,0.851286,0.680517,0.353001,0.29906,0.725493,0.045988,0.106125,3.7311,3.5577,15,5
von_neumann,36,0.04,500,12,0.160835,0.908892,0.714977,0.342299,0.294855,0.804527,0.04511,-0.024879,3.741,3.4545,17,9
von_neumann,36,0.04,1000,12,0.148131,0.847505,0.645938,0.304516,0.302924,0.716146,0.041396,0.026675,3.5542,3.6394,10,3
von_neumann,37,0.04,500,12,0.241396,0.929433,0.735891,0.324232,0.312574,0.703366,0.042442,-0.185647,3.6632,3.718,21,7
von_neumann,37,0.04,1000,12,0.203893,0.918173,0.675645,0.326185,0.300138,0.709792,0.044581,0.085255,3.6622,3.5973,16,4
von_neumann,38,0.04,500,12,0.137398,0.809831,0.721804,0.360621,0.309105,0.781327,0.043119,-0.064443,3.7588,3.5132,14,8
von_neumann,38,0.04,1000,12,0.204049,0.809959,0.678672,0.33011,0.311002,0.802898,0.041967,0.015762,3.6345,3.5421,14,6
von_neumann,39,0.04,500,12,0.183951,0.849243,0.732391,0.355954,0.314873,0.767806,0.041037,0.039118,3.7638,3.585,17,8
von_neumann,39,0.04,1000,12,0.158905,0.865718,0.669616,0.327611,0.311764,0.678543,0.044008,-0.072249,3.6707,3.7361,16,5
von_neumann,40,0.04,500,12,0.210197,0.898218,0.729071,0.328224,0.294796,0.647354,0.043959,0.030092,3.674,3.7592,16,9
von_neumann,40,0.04,1000,12,0.151367,0.891691,0.740575,0.383292,0.303745,0.760118,0.045332,-0.080547,3.8762,3.5679,20,9
von_neumann,41,0.04,500,12,0.120645,0.868682,0.658169,0.353026,0.270305,0.627731,0.045038,-0.080403,3.7914,3.7549,16,6
von_neumann,41,0.04,1000,12,0.203098,0.886177,0.712149,0.326613,0.294622,0.707746,0.04496,-0.012242,3.6585,3.5248,15,10
von_neumann,42,0.04,500,12,0.205371,0.881089,0.745773,0.331192,0.300565,0.686983,0.041639,0.092874,3.6505,3.6989,15,7
von_neumann,42,0.04,1000,12,0.22635,0.852871,0.732536,0.340782,0.310572,0.717803,0.045336,-0.055195,3.7292,3.6195,17,7
von_neumann,43,0.04,500,12,0.181304,0.795122,0.646529,0.318596,0.320467,0.741556,0.040947,-0.039945,3.5957,3.6516,19,5
von_neumann,43,0.04,1000,12,0.18007,0.884718,0.677977,0.317526,0.283434,0.677041,0.042619,0.034774,3.5854,3.6222,14,4
von_neumann,44,0.04,500,12,0.154746,0.854002,0.701206,0.350797,0.300632,0.769923,0.042946,-0.053089,3.7406,3.5523,17,8
von_neumann,44,0.04,1000,12,0.196734,0.845412,0.695316,0.336547,0.29811,0.672266,0.045433,0.031874,3.6295,3.7015,13,6
von_neumann,45,0.04,500,12,0.16639,0.98383,0.691434,0.352739,0.317489,0.76526,0.042203,0.01471,3.7557,3.6015,18,6
von_neumann,45,0.04,1000,12,0.20994,0.906599,0.708938,0.33098,0.307428,0.765941,0.042936,-0.093525,3.688,3.5918,19,8
von_neumann,46,0.04,500,12,0.188277,0.881723,0.656489,0.345334,0.297923,0.728716,0.044368,0.036632,3.7337,3.5916,14,5
von_neumann,46,0.04,1000,12,0.213015,0.881772,0.73495,0.338691,0.307869,0.78256,0.043698,-0.012887,3.6855,3.5917,17,10
von_neumann,47,0.04,500,12,0.205273,0.884361,0.708267,0.324562,0.296795,0.734977,0.042352,-0.104011,3.6458,3.4962,17,8
von_neumann,47,0.04,1000,12,0.185647,0.934709,0.634325,0.321235,0.316984,0.690931,0.045997,0.042124,3.6108,3.7177,17,4
von_neumann,48,0.04,500,12,0.203818,0.948292,0.666243,0.337939,0.333165,0.736663,0.04344,0.009285,3.62,3.6905,19,2
von_neumann,48,0.04,1000,12,0.194156,0.850972,0.69007,0.335297,0.333242,0.764773,0.041889,-0.002579,3.6858,3.6677,14,7
von_neumann,49,0.04,500,12,0.169726,0.742722,0.622312,0.335678,0.291061,0.738945,0.044785,-0.007494,3.6777,3.566,18,3
von_neumann,49,0.04,1000,12,0.192347,0.897674,0.704417,0.349142,0.313242,0.882897,0.043189,0.072844,3.7339,3.3918,18,9
von_neumann,50,0.04,500,12,0.239209,0.863482,0.757511,0.325837,0.316888,0.601473,0.044031,0.02637,3.6652,3.7671,19,9
von_neumann,50,0.04,1000,12,0.14518,0.854439,0.654061,0.331422,0.283033,0.797339,0.043934,-0.014617,3.6407,3.4183,19,3
moore,1,0.04,500,12,0.221884,0.851469,0.710322,0.324572,0.376696,0.809421,0.029987,-0.011411,3.5758,3.5921,10,7
moore,1,0.04,1000,12,0.183897,0.812716,0.688534,0.345775,0.371708,0.663609,0.028308,0.017524,3.668,3.8385,8,5
moore,2,0.04,500,12,0.203843,0.851353,0.656426,0.331458,0.388491,0.784774,0.029785,0.056699,3.6658,3.6168,11,6
moore,2,0.04,1000,12,0.190394,0.930089,0.750354,0.355968,0.335561,0.801025,0.029699,0.022222,3.7864,3.4304,7,7
moore,3,0.04,500,12,0.182986,0.876568,0.682545,0.340278,0.352053,0.730182,0.033066,0.04467,3.6815,3.4908,8,5
moore,3,0.04,1000,12,0.17201,0.905428,0.671618,0.326187,0.327126,0.732696,0.030647,0.037725,3.62,3.4398,8,5
moore,4,0.04,500,12,0.175867,0.800173,0.647467,0.331127,0.367864,0.655327,0.031055,-0.106604,3.6643,3.804,15,3
moore,4,0.04,1000,12,0.13873,0.739085,0.677199,0.3638,0.355168,0.778497,0.029503,0.073384,3.7469,3.4572,9,5
moore,5,0.04,500,12,0.213824,0.882394,0.738544,0.336768,0.34864,0.784133,0.030098,-0.029273,3.7109,3.4847,10,8
moore,5,0.04,1000,12,0.215942,0.794072,0.683278,0.320017,0.38443,0.767889,0.029197,0.022503,3.5807,3.7321,8,6
moore,6,0.04,500,12,0.218945,0.827535,0.709828,0.35122,0.390952,0.817929,0.029321,-0.011681,3.7558,3.6095,8,6
moore,6,0.04,1000,12,0.163933,0.894937,0.694572,0.314422,0.358235,0.704333,0.029364,-0.049643,3.5783,3.5641,11,7
moore,7,0.04,500,12,0.224663,0.895443,0.748835,0.361326,0.370416,0.792159,0.028966,0.020183,3.7358,3.5855,10,10
moore,7,0.04,1000,12,0.207211,0.879369,0.691953,0.338102,0.369734,0.728244,0.030164,-0.040127,3.6629,3.596,11,6
moore,8,0.04,500,12,0.22659,0.840948,0.734943,0.317113,0.352819,0.70886,0.029635,-0.063854,3.6284,3.565,14,7
moore,8,0.04,1000,12,0.234125,0.934993,0.702078,0.333445,0.385331,0.808247,0.029538,0.018381,3.6971,3.563,8,8
moore,9,0.04,500,12,0.176758,0.885754,0.672327,0.321312,0.344565,0.772529,0.03033,-0.026264,3.6312,3.4609,13,6
moore,9,0.04,1000,12,0.219436,0.954083,0.737282,0.343023,0.378073,0.726816,0.030759,0.041076,3.7358,3.7085,9,8
moore,10,0.04,500,12,0.20538,0.9209,0.765434,0.358581,0.388494,0.816514,0.030469,-0.03342,3.7279,3.5284,11,7
moore,10,0.04,1000,12,0.195617,0.955464,0.711889,0.328128,0.357008,0.719324,0.031608,-0.045015,3.6903,3.6165,14,7
moore,11,0.04,500,12,0.23159,0.834471,0.718954,0.340647,0.362506,0.80965,0.028293,0.02788,3.7164,3.5569,10,7
moore,11,0.04,1000,12,0.204569,0.809471,0.692346,0.32295,0.357713,0.803038,0.030595,0.047412,3.6036,3.4955,11,4
moore,12,0.04,500,12,0.185572,0.884875,0.721191,0.331284,0.334618,0.723759,0.031732,0.037747,3.6485,3.6177,8,5
moore,12,0.04,1000,12,0.221065,0.860843,0.631341,0.302978,0.363801,0.687398,0.032976,0.003696,3.5235,3.7292,12,3
