connectome,seed,noise,tick,N,K,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err
c_elegans,20,0.08,1000,448,14,0.192539,0.884802,0.674206,0.337894,0.361919,0.787104,0.16591,0.658704,0.815206,0.039872
c_elegans,1,0.12,1000,448,14,0.191648,0.94381,0.704836,0.351931,0.341187,0.825698,0.162182,0.657939,0.740832,0.055215
c_elegans,2,0.12,1000,448,14,0.198892,0.912588,0.688775,0.329738,0.342514,0.852284,0.179066,0.659664,0.743748,0.05036
c_elegans,3,0.12,1000,448,14,0.225031,0.874077,0.706526,0.334238,0.337231,0.857761,0.196434,0.660606,0.738076,0.050761
c_elegans,4,0.12,1000,448,14,0.210358,0.901421,0.699012,0.341134,0.344724,0.850142,0.162837,0.659125,0.745237,0.051176
c_elegans,5,0.12,1000,448,14,0.227951,0.86936,0.699774,0.332637,0.331804,0.809905,0.170132,0.659714,0.734874,0.05443
c_elegans,6,0.12,1000,448,14,0.170082,0.837331,0.653613,0.319762,0.335239,0.781586,0.139408,0.659581,0.746644,0.050938
c_elegans,7,0.12,1000,448,14,0.195449,0.881983,0.692344,0.331442,0.337087,0.900076,0.150396,0.660054,0.73288,0.054506
c_elegans,8,0.12,1000,448,14,0.212656,0.908949,0.737167,0.33719,0.344319,0.903134,0.164744,0.659179,0.736704,0.055496
c_elegans,9,0.12,1000,448,14,0.209007,0.923389,0.691085,0.32758,0.350546,0.859259,0.143797,0.661187,0.73642,0.050577
c_elegans,10,0.12,1000,448,14,0.155371,0.8516,0.683978,0.323905,0.331387,0.766774,0.117501,0.660524,0.744117,0.056455
c_elegans,11,0.12,1000,448,14,0.193923,0.873972,0.667434,0.330002,0.317347,0.837347,0.146032,0.660107,0.763234,0.052542
c_elegans,12,0.12,1000,448,14,0.183,0.906113,0.664723,0.325202,0.331842,0.806231,0.147394,0.660887,0.739227,0.051586
c_elegans,13,0.12,1000,448,14,0.178824,0.883955,0.656388,0.332327,0.342316,0.771237,0.145801,0.660412,0.758479,0.052346
c_elegans,14,0.12,1000,448,14,0.187613,0.934065,0.706038,0.34522,0.328341,0.839742,0.156545,0.661235,0.740372,0.053827
c_elegans,15,0.12,1000,448,14,0.207969,0.897644,0.721958,0.339532,0.345471,0.815591,0.162429,0.661694,0.720728,0.051117
c_elegans,16,0.12,1000,448,14,0.180416,0.896046,0.681505,0.341864,0.333926,0.777139,0.143129,0.657548,0.750458,0.048975
c_elegans,17,0.12,1000,448,14,0.204461,0.953602,0.727125,0.337519,0.349032,0.88976,0.146064,0.657779,0.74228,0.052152
c_elegans,18,0.12,1000,448,14,0.152209,0.902662,0.666682,0.335719,0.329469,0.743871,0.121106,0.656946,0.746621,0.051796
c_elegans,19,0.12,1000,448,14,0.219586,0.948482,0.692265,0.318449,0.35467,0.813497,0.166196,0.660425,0.736754,0.050712
c_elegans,20,0.12,1000,448,14,0.191031,0.916212,0.705656,0.337471,0.34919,0.836633,0.153922,0.658035,0.732672,0.053309
c_elegans,1,0.2,1000,448,14,0.184843,0.920378,0.72685,0.345785,0.325562,0.794961,0.145291,0.657631,0.654837,0.08544
c_elegans,2,0.2,1000,448,14,0.189862,0.942802,0.696259,0.334555,0.332,0.843086,0.170263,0.66031,0.656945,0.07734
c_elegans,3,0.2,1000,448,14,0.229651,0.84978,0.711795,0.323308,0.325307,0.819833,0.192356,0.660205,0.648675,0.078313
c_elegans,4,0.2,1000,448,14,0.214325,0.889586,0.718073,0.335922,0.334524,0.805086,0.156267,0.660004,0.662692,0.079177
c_elegans,5,0.2,1000,448,14,0.225297,0.827924,0.7287,0.346569,0.323591,0.847265,0.14936,0.659134,0.640812,0.08368
c_elegans,6,0.2,1000,448,14,0.161478,0.89095,0.681882,0.329788,0.318139,0.816657,0.12709,0.65922,0.664853,0.079088
c_elegans,7,0.2,1000,448,14,0.199418,0.919735,0.698136,0.331217,0.325079,0.840717,0.143566,0.659679,0.642727,0.083132
c_elegans,8,0.2,1000,448,14,0.214608,0.891145,0.72591,0.332031,0.335315,0.85332,0.155765,0.659696,0.651058,0.086693
c_elegans,9,0.2,1000,448,14,0.217662,0.904879,0.728013,0.333647,0.336796,0.858512,0.142967,0.660935,0.644489,0.077779
c_elegans,10,0.2,1000,448,14,0.162955,0.876378,0.661139,0.314889,0.319724,0.852321,0.115234,0.661147,0.66084,0.087948
c_elegans,11,0.2,1000,448,14,0.190118,0.847348,0.646758,0.324577,0.304323,0.771847,0.134044,0.660553,0.683826,0.080761
c_elegans,12,0.2,1000,448,14,0.185933,0.900876,0.686639,0.322952,0.316905,0.82546,0.137315,0.661062,0.649433,0.080118
c_elegans,13,0.2,1000,448,14,0.183759,0.88107,0.68021,0.337142,0.328972,0.790978,0.150633,0.659964,0.670043,0.080281
c_elegans,14,0.2,1000,448,14,0.18251,0.954697,0.697116,0.340222,0.311092,0.804904,0.142516,0.661294,0.668406,0.083527
c_elegans,15,0.2,1000,448,14,0.205962,0.9097,0.730783,0.341541,0.330247,0.795494,0.149786,0.661925,0.627373,0.07952
c_elegans,16,0.2,1000,448,14,0.179539,0.844215,0.664006,0.337663,0.319732,0.784126,0.132634,0.657492,0.669687,0.075161
c_elegans,17,0.2,1000,448,14,0.210089,0.982617,0.715653,0.341953,0.338788,0.861047,0.141575,0.658077,0.65055,0.080603
c_elegans,18,0.2,1000,448,14,0.157422,0.918629,0.656492,0.334644,0.319616,0.759691,0.122694,0.658364,0.664761,0.080451
c_elegans,19,0.2,1000,448,14,0.208802,0.934847,0.693269,0.323972,0.340826,0.827351,0.152746,0.65992,0.655157,0.077863
c_elegans,20,0.2,1000,448,14,0.188836,0.856291,0.687561,0.335616,0.335545,0.877725,0.141298,0.657945,0.643513,0.082449
c_elegans,1,0.3,1000,448,14,0.180981,0.916771,0.706381,0.341184,0.3176,0.849365,0.134884,0.657838,0.612029,0.12397
c_elegans,2,0.3,1000,448,14,0.179967,0.941003,0.713477,0.337799,0.326478,0.897471,0.161188,0.660251,0.611898,0.1121
c_elegans,3,0.3,1000,448,14,0.226889,0.893394,0.702807,0.32032,0.319619,0.799449,0.18547,0.660062,0.603925,0.113858
c_elegans,4,0.3,1000,448,14,0.216152,0.901577,0.717234,0.339207,0.330106,0.827671,0.15357,0.659895,0.620213,0.115164
c_elegans,5,0.3,1000,448,14,0.223451,0.855122,0.712205,0.350476,0.32018,0.864337,0.138685,0.65894,0.588434,0.121167
c_elegans,6,0.3,1000,448,14,0.156679,0.880395,0.705261,0.337445,0.309839,0.822719,0.120237,0.658948,0.623195,0.115431
c_elegans,7,0.3,1000,448,14,0.20247,0.918218,0.726206,0.332832,0.319316,0.78224,0.141273,0.659157,0.595666,0.119859
c_elegans,8,0.3,1000,448,14,0.215461,0.880026,0.699201,0.329803,0.330884,0.85593,0.151532,0.660173,0.606633,0.126523
c_elegans,9,0.3,1000,448,14,0.221096,0.938036,0.727232,0.33804,0.330201,0.834545,0.142489,0.660692,0.599027,0.112805
