topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,96,False,0.189609,0.970726,0.704348,0.340511,0.302696,0.852006,0.14071,0.657718,0.870962,0.043429,0.008742,3.7792,3.4814,1118,435
von_neumann,1,0.04,1000,96,False,0.187654,0.973532,0.705649,0.344097,0.303937,0.894307,0.144605,0.659072,0.870474,0.043092,0.006441,3.7981,3.43,1115,439
von_neumann,2,0.04,500,96,False,0.186184,0.953813,0.709147,0.342458,0.303478,0.863333,0.137684,0.658428,0.869955,0.043695,-0.010166,3.793,3.4761,1130,450
von_neumann,2,0.04,1000,96,False,0.188308,0.973188,0.704561,0.342199,0.303674,0.872902,0.139903,0.658577,0.868401,0.043358,0.001767,3.7899,3.4641,1130,439
von_neumann,3,0.04,500,96,False,0.184037,0.967174,0.698246,0.338903,0.303768,0.920076,0.131719,0.65901,0.869573,0.043609,0.016399,3.7739,3.3848,1089,409
von_neumann,3,0.04,1000,96,False,0.188847,0.960412,0.71023,0.342096,0.305699,0.868892,0.147566,0.658861,0.87148,0.043111,-0.002414,3.7861,3.4822,1091,451
von_neumann,4,0.04,500,96,False,0.185782,0.970461,0.70584,0.339964,0.304025,0.926782,0.139478,0.658509,0.871566,0.043343,-0.005394,3.7845,3.379,1136,440
von_neumann,4,0.04,1000,96,False,0.18528,0.964139,0.704541,0.343449,0.303397,0.857888,0.139529,0.658368,0.870509,0.043111,0.001435,3.7983,3.4716,1124,443
von_neumann,5,0.04,500,96,False,0.183796,0.954831,0.703351,0.341099,0.304378,0.885852,0.138525,0.657769,0.871845,0.043422,-0.000284,3.7889,3.4316,1099,422
von_neumann,5,0.04,1000,96,False,0.181955,0.953031,0.7022,0.338044,0.305198,0.909634,0.137445,0.659209,0.870874,0.043331,-0.004079,3.7772,3.3818,1126,425
von_neumann,6,0.04,500,96,False,0.18878,0.947249,0.701421,0.337989,0.3052,0.914391,0.138121,0.658686,0.868476,0.043334,0.005582,3.7743,3.3886,1085,429
von_neumann,6,0.04,1000,96,False,0.181461,0.963811,0.704238,0.342573,0.305408,0.92189,0.136433,0.65827,0.870676,0.043304,0.006262,3.7918,3.3922,1095,430
von_neumann,7,0.04,500,96,False,0.188892,0.9438,0.706644,0.335902,0.305613,0.854525,0.142105,0.658947,0.868025,0.04374,0.010329,3.7676,3.5039,1107,422
von_neumann,7,0.04,1000,96,False,0.186581,0.952558,0.703695,0.340794,0.303814,0.887992,0.141831,0.658834,0.871005,0.042947,0.021491,3.7851,3.4195,1076,433
von_neumann,8,0.04,500,96,False,0.182074,0.940379,0.703053,0.339958,0.304711,0.896647,0.133336,0.659001,0.870102,0.043261,0.00812,3.7825,3.4221,1085,422
von_neumann,8,0.04,1000,96,False,0.182193,0.950152,0.699213,0.335558,0.303352,0.84399,0.134245,0.65913,0.871761,0.043337,-0.004073,3.7661,3.4921,1104,416
