topology,seed,noise,tick,size,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,20,0.04,500,24,0.171959,0.903833,0.714192,0.338514,0.302364,0.920307,0.04404,0.048238,3.7699,3.3341,68,28
von_neumann,20,0.04,1000,24,0.185691,0.933531,0.67914,0.326728,0.304742,0.77739,0.042887,0.025407,3.7202,3.6465,56,21
von_neumann,21,0.04,500,24,0.211148,0.932001,0.731657,0.344449,0.307779,0.79629,0.043581,-0.040704,3.7822,3.6033,82,34
von_neumann,21,0.04,1000,24,0.168166,0.835551,0.673671,0.322309,0.29577,0.767464,0.044017,-0.002804,3.6904,3.5402,70,20
von_neumann,22,0.04,500,24,0.183313,0.853903,0.677994,0.341403,0.315341,0.758919,0.043499,-0.036141,3.7538,3.5771,72,21
von_neumann,22,0.04,1000,24,0.194632,0.887332,0.711417,0.333963,0.307065,0.733525,0.04477,0.03487,3.7393,3.6643,63,28
von_neumann,23,0.04,500,24,0.159529,0.900234,0.703849,0.352888,0.299702,0.882278,0.043711,0.029989,3.8139,3.4407,70,29
von_neumann,23,0.04,1000,24,0.183237,0.897525,0.688382,0.343048,0.309116,0.752434,0.042332,-0.058939,3.7665,3.7146,80,27
von_neumann,24,0.04,500,24,0.171831,0.855938,0.665107,0.332064,0.305446,0.751467,0.042052,0.025663,3.7248,3.6445,67,19
von_neumann,24,0.04,1000,24,0.215483,0.856202,0.710304,0.341337,0.318356,0.885609,0.044516,-0.024703,3.7537,3.4244,81,33
von_neumann,25,0.04,500,24,0.198743,0.913451,0.69557,0.342491,0.312348,0.909914,0.043146,0.056116,3.7594,3.4148,65,23
von_neumann,25,0.04,1000,24,0.161168,0.943537,0.68319,0.351263,0.304466,0.7043,0.043517,-0.052093,3.8108,3.6928,72,25
von_neumann,26,0.04,500,24,0.155349,0.8963,0.679741,0.336325,0.294584,0.863806,0.041943,-0.048315,3.7701,3.3499,74,24
von_neumann,26,0.04,1000,24,0.169658,0.938528,0.688374,0.33422,0.291957,0.758211,0.043462,-0.014153,3.7472,3.5817,72,26
von_neumann,27,0.04,500,24,0.191387,0.944682,0.7286,0.356851,0.309182,0.757191,0.043759,-0.028064,3.8305,3.6559,66,34
von_neumann,27,0.04,1000,24,0.186961,0.930366,0.713012,0.354822,0.300714,0.787886,0.043064,-0.022997,3.8172,3.6198,75,28
von_neumann,28,0.04,500,24,0.159911,0.872786,0.69782,0.360681,0.298358,0.64928,0.043689,-0.029719,3.8265,3.7422,77,27
von_neumann,28,0.04,1000,24,0.180367,0.941423,0.715235,0.350604,0.308406,0.797556,0.042787,0.017319,3.8049,3.5838,62,27
von_neumann,29,0.04,500,24,0.185512,0.98686,0.710237,0.343941,0.310831,0.746817,0.044085,0.003553,3.7958,3.6524,72,32
von_neumann,29,0.04,1000,24,0.180704,0.905831,0.705152,0.331495,0.296929,0.812787,0.043627,0.017295,3.7587,3.4783,73,25
