topology,seed,noise,tick,size,gol,mean_self,max_self,p95_self,std_self,mean_phi,max_phi,mean_R,mean_T,mean_E,mean_err,morans_i,entropy,phi_entropy,clusters_05,clusters_07
von_neumann,1,0.04,500,24,False,0.196928,0.913149,0.705199,0.331233,0.304519,0.83319,0.130274,0.65987,0.869096,0.043394,0.020902,3.7535,3.4313,63,29
von_neumann,1,0.04,1000,24,False,0.176713,0.905679,0.695316,0.326534,0.30416,0.761403,0.125182,0.658089,0.872766,0.044055,0.050043,3.7044,3.5987,69,24
von_neumann,2,0.04,500,24,False,0.149373,0.891194,0.653114,0.334251,0.297876,0.746211,0.10925,0.657138,0.870365,0.043174,-0.009269,3.7316,3.5901,62,19
von_neumann,2,0.04,1000,24,False,0.206123,0.938495,0.704059,0.343652,0.310289,0.769297,0.15582,0.658965,0.860282,0.043743,-0.000598,3.7579,3.6059,63,26
von_neumann,3,0.04,500,24,False,0.204203,0.950327,0.716306,0.337123,0.306571,0.81648,0.162199,0.660247,0.87082,0.043545,-0.012078,3.7384,3.5305,67,33
von_neumann,3,0.04,1000,24,False,0.176947,0.898331,0.706918,0.335731,0.292166,0.755834,0.142278,0.659544,0.880911,0.044566,-0.037441,3.7484,3.5725,76,29
von_neumann,4,0.04,500,24,False,0.200572,0.938276,0.729741,0.342759,0.305035,0.761776,0.148733,0.657429,0.863739,0.043796,-0.015561,3.7853,3.617,73,34
von_neumann,4,0.04,1000,24,False,0.192057,0.981971,0.709871,0.342193,0.296543,0.707323,0.141831,0.656967,0.866668,0.043257,-0.053615,3.7824,3.7206,73,31
von_neumann,5,0.04,500,24,False,0.164126,0.956461,0.678596,0.328107,0.310159,0.73226,0.128396,0.657665,0.876463,0.043128,0.05533,3.7337,3.7161,61,22
von_neumann,5,0.04,1000,24,False,0.172389,0.917707,0.697209,0.350751,0.301099,0.741732,0.136084,0.66081,0.874145,0.042704,-0.009085,3.822,3.6788,76,26
von_neumann,6,0.04,500,24,False,0.187321,0.901615,0.732046,0.348005,0.307739,0.775917,0.130532,0.655532,0.87464,0.042669,-0.021368,3.7912,3.588,69,33
von_neumann,6,0.04,1000,24,False,0.196078,0.905907,0.692596,0.326014,0.300751,0.738784,0.127808,0.660891,0.873839,0.04271,0.060131,3.711,3.6438,73,23
von_neumann,7,0.04,500,24,False,0.189034,0.924344,0.71337,0.341176,0.304406,0.774133,0.143303,0.656417,0.874654,0.043183,-0.043441,3.78,3.6262,72,29
von_neumann,7,0.04,1000,24,False,0.165213,0.944185,0.699347,0.333935,0.294511,0.792259,0.120663,0.658969,0.870584,0.043562,0.042155,3.7672,3.4888,56,26
von_neumann,8,0.04,500,24,False,0.195864,0.899106,0.680991,0.333571,0.303094,0.704806,0.14732,0.656136,0.869602,0.043512,0.018138,3.7119,3.7245,66,22
von_neumann,8,0.04,1000,24,False,0.176202,0.841643,0.665234,0.335741,0.294323,0.740422,0.121602,0.65881,0.877688,0.042903,0.028445,3.7388,3.5931,61,18
von_neumann,9,0.04,500,24,False,0.210804,0.899822,0.695549,0.3319,0.302606,0.755776,0.179208,0.65684,0.873161,0.045112,-0.011614,3.6949,3.6065,69,25
von_neumann,9,0.04,1000,24,False,0.195208,0.862266,0.707927,0.344128,0.299664,0.713938,0.146304,0.659817,0.862571,0.043481,-0.028569,3.7534,3.774,80,27
von_neumann,10,0.04,500,24,False,0.186477,0.914163,0.681283,0.330895,0.299022,0.718773,0.140849,0.659343,0.868806,0.04384,-0.023549,3.7337,3.7383,68,25
von_neumann,10,0.04,1000,24,False,0.203026,0.896348,0.688708,0.338099,0.309835,0.793919,0.165834,0.655605,0.8775,0.043414,-0.03003,3.7165,3.6553,74,23
moore,1,0.04,500,24,False,0.213025,0.892257,0.705065,0.338931,0.366075,0.863427,0.165487,0.659436,0.922771,0.029858,-0.005756,3.7426,3.5037,39,30
moore,1,0.04,1000,24,False,0.180247,0.938996,0.707315,0.326632,0.361847,0.814335,0.149806,0.658729,0.926584,0.03086,0.004221,3.7237,3.5135,45,23
moore,2,0.04,500,24,False,0.149889,0.876706,0.659273,0.345222,0.352099,0.752309,0.123393,0.660391,0.92426,0.030027,0.002911,3.7815,3.633,41,17
moore,2,0.04,1000,24,False,0.206339,0.949814,0.711568,0.331819,0.371422,0.920967,0.160272,0.658651,0.9164,0.029949,-0.013287,3.7354,3.4652,45,19
moore,3,0.04,500,24,False,0.199645,0.910165,0.710078,0.330671,0.365754,0.878381,0.16984,0.65955,0.920546,0.030705,-0.004486,3.7253,3.4852,53,32
moore,3,0.04,1000,24,False,0.163619,0.899525,0.707099,0.347777,0.343612,0.730413,0.137528,0.659192,0.927379,0.030205,-0.020372,3.8038,3.6572,46,24
moore,4,0.04,500,24,False,0.196502,0.929545,0.714604,0.341628,0.358438,0.73698,0.155164,0.657091,0.919214,0.030032,-0.006977,3.7725,3.6737,41,27
moore,4,0.04,1000,24,False,0.180918,0.884964,0.681723,0.339384,0.351764,0.838001,0.133477,0.658127,0.923261,0.029209,-0.020439,3.7453,3.5131,47,21
moore,5,0.04,500,24,False,0.163604,0.983137,0.669755,0.333571,0.362317,0.807572,0.126612,0.658063,0.927444,0.02924,-0.009639,3.7517,3.566,51,20
moore,5,0.04,1000,24,False,0.16907,0.94583,0.694114,0.352654,0.356076,0.805471,0.132966,0.658789,0.919915,0.029698,0.010284,3.7929,3.5712,38,22
moore,6,0.04,500,24,False,0.196072,0.923095,0.721075,0.33885,0.366167,0.807923,0.156262,0.65711,0.922578,0.029506,-0.014737,3.7732,3.5676,37,33
moore,6,0.04,1000,24,False,0.196121,0.932913,0.691382,0.33296,0.362159,0.78986,0.142267,0.660374,0.92405,0.029822,0.002836,3.7342,3.6101,42,19
moore,7,0.04,500,24,False,0.197184,0.92136,0.698994,0.334002,0.363383,0.883138,0.158009,0.656307,0.922984,0.030156,0.003059,3.7209,3.5012,42,24
moore,7,0.04,1000,24,False,0.16985,0.939627,0.705917,0.336505,0.349753,0.765502,0.132042,0.65806,0.92061,0.030605,0.041156,3.7624,3.5393,40,21
moore,8,0.04,500,24,False,0.199587,0.924505,0.719601,0.341206,0.366182,0.901212,0.159113,0.658652,0.922257,0.030374,-0.020994,3.7758,3.4568,45,27
moore,8,0.04,1000,24,False,0.184742,0.867718,0.668612,0.33673,0.348381,0.834514,0.155103,0.659396,0.924298,0.030684,-0.021548,3.7355,3.4462,43,21
moore,9,0.04,500,24,False,0.209385,0.893569,0.706327,0.334863,0.362446,0.81238,0.166996,0.658137,0.921701,0.030735,0.001381,3.7396,3.5862,42,24
moore,9,0.04,1000,24,False,0.191221,0.884276,0.700893,0.333411,0.354602,0.856056,0.154209,0.662119,0.917588,0.030389,-0.003498,3.7391,3.5457,40,26
moore,10,0.04,500,24,False,0.194757,0.944619,0.694395,0.325035,0.358662,0.798281,0.156453,0.660446,0.924101,0.03068,0.003383,3.715,3.5672,49,22
moore,10,0.04,1000,24,False,0.201475,0.879172,0.664623,0.33515,0.35948,0.769708,0.165626,0.657333,0.926237,0.029595,0.010334,3.7226,3.6491,47,19
hex,1,0.04,500,24,False,0.210048,0.884757,0.718771,0.331164,0.345911,0.818939,0.152086,0.659609,0.902053,0.03377,0.012169,3.7131,3.5679,58,31
